Player,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Goga Bitadze,0.32,0.03,0.09,0.29,0.23,0.09,0.14,0.06,0.26,0.23,0.13,0.07,0.6,0.23,0.31,0.33
Goran Dragic,0.43,0.13,0.13,0.33,0.3,0.18,0.24,0.02,0.15,0.12,0.48,0.08,0.04,0.32,0.18,0.48
Gordon Hayward,0.41,0.14,0.14,0.31,0.27,0.23,0.28,0.02,0.21,0.16,0.32,0.09,0.06,0.24,0.12,0.5
Gorgui Dieng,0.28,0.04,0.04,0.29,0.24,0.14,0.17,0.07,0.3,0.27,0.18,0.12,0.31,0.2,0.24,0.33
Grant Williams,0.21,0.06,0.09,0.13,0.11,0.08,0.11,0.06,0.17,0.17,0.19,0.08,0.25,0.19,0.36,0.2
Grayson Allen,0.38,0.23,0.21,0.18,0.17,0.15,0.19,0.01,0.13,0.09,0.19,0.04,0.04,0.24,0.19,0.43
Greg Monroe,0.39,0.0,0.0,0.48,0.39,0.19,0.26,0.1,0.32,0.31,0.25,0.12,0.17,0.29,0.19,0.47
Greg Smith,0.17,0.0,0.0,0.21,0.17,0.07,0.17,0.07,0.24,0.21,0.08,0.06,0.06,0.14,0.34,0.2
Greivis Vasquez,0.29,0.1,0.15,0.13,0.14,0.09,0.12,0.01,0.13,0.1,0.55,0.07,0.0,0.33,0.21,0.25
Guerschon Yabusele,0.29,0.13,0.14,0.17,0.15,0.12,0.18,0.08,0.2,0.21,0.17,0.09,0.23,0.24,0.24,0.32
Hamidou Diallo,0.33,0.04,0.06,0.29,0.27,0.11,0.18,0.06,0.2,0.18,0.1,0.12,0.1,0.22,0.28,0.32
Harrison Barnes,0.39,0.13,0.12,0.3,0.28,0.17,0.2,0.03,0.18,0.15,0.15,0.06,0.04,0.14,0.1,0.44
Harry Giles,0.41,0.0,0.01,0.48,0.4,0.13,0.18,0.07,0.3,0.27,0.28,0.11,0.21,0.31,0.41,0.44
Hassan Whiteside,0.37,0.0,0.0,0.49,0.37,0.17,0.28,0.13,0.48,0.44,0.08,0.07,0.67,0.24,0.22,0.47
Haywood Highsmith,0.25,0.07,0.12,0.17,0.12,0.0,0.1,0.0,0.19,0.12,0.14,0.08,0.0,0.1,0.06,0.2
Henry Ellenson,0.43,0.18,0.19,0.22,0.24,0.13,0.17,0.03,0.34,0.26,0.16,0.07,0.0,0.22,0.17,0.4
Henry Sims,0.29,0.0,0.0,0.29,0.29,0.19,0.22,0.08,0.29,0.27,0.09,0.09,0.4,0.19,0.31,0.31
Hollis Thompson,0.3,0.17,0.17,0.12,0.14,0.07,0.09,0.02,0.16,0.13,0.13,0.06,0.08,0.11,0.2,0.3
Ian Clark,0.37,0.15,0.15,0.24,0.21,0.07,0.09,0.01,0.13,0.1,0.25,0.08,0.04,0.21,0.19,0.38
Ian Mahinmi,0.23,0.0,0.01,0.28,0.22,0.16,0.25,0.09,0.27,0.27,0.15,0.12,0.31,0.24,0.34,0.31
Ignas Brazdeikis,0.41,0.05,0.17,0.23,0.24,0.13,0.21,0.03,0.08,0.1,0.19,0.0,0.12,0.13,0.11,0.29
Ike Anigbogu,0.35,0.0,0.0,0.26,0.35,0.31,0.31,0.15,0.23,0.35,0.11,0.12,0.88,0.31,0.09,0.32
Iman Shumpert,0.26,0.13,0.14,0.12,0.12,0.06,0.08,0.02,0.16,0.13,0.19,0.12,0.08,0.17,0.19,0.25
Isaac Bonga,0.19,0.06,0.06,0.16,0.13,0.12,0.14,0.06,0.18,0.18,0.18,0.12,0.15,0.18,0.28,0.23
Isaac Humphries,0.38,0.15,0.2,0.12,0.18,0.0,0.0,0.07,0.19,0.2,0.0,0.05,0.0,0.0,0.28,0.24
Isaiah Briscoe,0.24,0.06,0.06,0.18,0.19,0.06,0.1,0.01,0.19,0.13,0.44,0.07,0.06,0.22,0.27,0.22
Isaiah Canaan,0.33,0.2,0.21,0.11,0.12,0.14,0.16,0.01,0.12,0.09,0.26,0.1,0.04,0.2,0.16,0.35
Isaiah Hartenstein,0.22,0.0,0.02,0.28,0.2,0.13,0.17,0.11,0.27,0.28,0.18,0.09,0.4,0.26,0.45,0.3
Isaiah Hicks,0.29,0.02,0.03,0.29,0.26,0.12,0.17,0.05,0.2,0.18,0.2,0.02,0.17,0.24,0.41,0.31
Isaiah Roby,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.28,0.19,0.0,0.0,0.0,0.32,0.18,0.0
Isaiah Taylor,0.32,0.05,0.07,0.26,0.26,0.16,0.23,0.02,0.09,0.08,0.48,0.08,0.08,0.28,0.22,0.33
Isaiah Thomas,0.53,0.22,0.21,0.34,0.32,0.35,0.4,0.02,0.1,0.08,0.51,0.08,0.02,0.36,0.15,0.64
Isaiah Whitehead,0.33,0.09,0.09,0.24,0.23,0.12,0.14,0.02,0.15,0.12,0.33,0.09,0.15,0.37,0.24,0.32
Ish Smith,0.4,0.06,0.08,0.34,0.32,0.09,0.12,0.02,0.16,0.12,0.56,0.09,0.08,0.23,0.15,0.38
Ivan Rabb,0.29,0.0,0.01,0.36,0.28,0.12,0.17,0.1,0.29,0.29,0.2,0.06,0.15,0.22,0.26,0.36
Ivica Zubac,0.33,0.0,0.0,0.42,0.33,0.18,0.23,0.12,0.35,0.35,0.16,0.04,0.38,0.22,0.28,0.42
JJ Barea,0.44,0.19,0.18,0.28,0.27,0.11,0.13,0.01,0.15,0.11,0.68,0.06,0.0,0.33,0.12,0.45
JJ Hickson,0.35,0.0,0.0,0.41,0.35,0.21,0.47,0.09,0.32,0.3,0.16,0.1,0.25,0.22,0.23,0.43
JJ O'Brien,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.25,0.17,0.0,0.5,0.0,0.0,0.38,0.0
JJ Redick,0.41,0.28,0.22,0.2,0.19,0.19,0.21,0.01,0.11,0.08,0.21,0.05,0.02,0.18,0.13,0.52
JP Macura,0.5,0.0,0.22,0.38,0.28,0.0,0.0,0.0,0.25,0.17,0.33,0.0,0.0,0.0,0.0,0.3
JR Smith,0.31,0.21,0.2,0.11,0.11,0.03,0.05,0.01,0.12,0.09,0.17,0.09,0.06,0.11,0.18,0.31
Ja Morant,0.45,0.08,0.09,0.42,0.36,0.23,0.29,0.02,0.15,0.12,0.67,0.08,0.06,0.42,0.12,0.52
JaKarr Sampson,0.27,0.04,0.05,0.27,0.22,0.12,0.18,0.04,0.21,0.18,0.11,0.08,0.23,0.18,0.29,0.31
JaMychal Green,0.29,0.1,0.09,0.24,0.21,0.11,0.15,0.08,0.3,0.28,0.13,0.08,0.12,0.21,0.28,0.34
JaVale McGee,0.36,0.0,0.01,0.51,0.35,0.11,0.19,0.12,0.32,0.33,0.08,0.08,0.62,0.22,0.3,0.46
Jabari Bird,0.23,0.06,0.06,0.23,0.17,0.11,0.23,0.06,0.17,0.17,0.2,0.07,0.08,0.28,0.12,0.31
Jabari Parker,0.43,0.08,0.08,0.42,0.35,0.15,0.2,0.05,0.22,0.2,0.21,0.09,0.1,0.24,0.17,0.48
Jack Cooley,0.31,0.0,0.0,0.34,0.31,0.32,0.43,0.16,0.28,0.35,0.21,0.02,0.0,0.13,0.34,0.42
Jacob Evans,0.31,0.08,0.09,0.17,0.22,0.08,0.09,0.03,0.13,0.11,0.25,0.08,0.21,0.23,0.26,0.24
Jacob Pullen,0.35,0.0,0.15,0.34,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.32
Jacob Wiley,0.12,0.09,0.06,0.0,0.06,0.06,0.12,0.06,0.41,0.33,0.17,0.09,0.0,0.0,0.28,0.11
Jae Crowder,0.33,0.19,0.19,0.17,0.14,0.14,0.17,0.03,0.22,0.17,0.17,0.12,0.1,0.16,0.18,0.37
Jahlil Okafor,0.43,0.0,0.01,0.52,0.42,0.16,0.23,0.08,0.25,0.24,0.14,0.04,0.33,0.29,0.24,0.49
Jake Layman,0.33,0.13,0.15,0.23,0.18,0.07,0.12,0.04,0.15,0.14,0.1,0.09,0.17,0.14,0.2,0.35
Jakob Poeltl,0.23,0.0,0.0,0.32,0.23,0.07,0.14,0.12,0.25,0.29,0.17,0.08,0.46,0.19,0.29,0.3
Jalen Brunson,0.36,0.11,0.11,0.29,0.25,0.11,0.15,0.02,0.15,0.11,0.45,0.08,0.04,0.23,0.17,0.4
Jalen Jones,0.32,0.14,0.14,0.18,0.19,0.16,0.23,0.06,0.18,0.18,0.07,0.1,0.06,0.17,0.28,0.35
Jalen Lecque,0.31,0.0,0.12,0.28,0.19,0.12,0.12,0.0,0.09,0.06,0.17,0.0,0.0,0.24,0.21,0.28
Jalen McDaniels,0.24,0.1,0.08,0.19,0.16,0.1,0.12,0.05,0.25,0.22,0.13,0.08,0.08,0.16,0.27,0.28
Jamal Crawford,0.42,0.16,0.17,0.26,0.25,0.17,0.19,0.01,0.08,0.06,0.33,0.08,0.06,0.24,0.12,0.44
Jamal Murray,0.44,0.17,0.18,0.3,0.27,0.16,0.18,0.03,0.15,0.12,0.37,0.09,0.08,0.26,0.14,0.48
Jameel Warney,0.44,0.0,0.0,0.57,0.44,0.22,0.38,0.14,0.28,0.33,0.0,0.0,0.0,0.13,0.18,0.58
Jameer Nelson,0.28,0.13,0.13,0.15,0.15,0.05,0.06,0.02,0.12,0.1,0.52,0.08,0.02,0.26,0.21,0.27
Jamel Artis,0.29,0.08,0.1,0.18,0.18,0.06,0.08,0.02,0.19,0.13,0.18,0.02,0.08,0.11,0.09,0.25
James Anderson,0.25,0.1,0.12,0.14,0.13,0.06,0.08,0.02,0.15,0.12,0.16,0.08,0.17,0.22,0.18,0.22
James Ennis,0.25,0.11,0.12,0.18,0.13,0.12,0.14,0.05,0.17,0.16,0.13,0.08,0.1,0.16,0.24,0.3
James Harden,0.57,0.29,0.29,0.34,0.29,0.51,0.59,0.02,0.23,0.18,0.66,0.15,0.15,0.53,0.17,0.79
James Johnson,0.33,0.1,0.11,0.28,0.22,0.11,0.17,0.03,0.21,0.17,0.35,0.11,0.27,0.3,0.22,0.37
James Jones,0.27,0.26,0.21,0.08,0.08,0.09,0.11,0.01,0.14,0.1,0.1,0.07,0.17,0.09,0.23,0.33
James Michael McAdoo,0.29,0.04,0.02,0.32,0.26,0.13,0.26,0.09,0.18,0.21,0.15,0.12,0.4,0.21,0.26,0.33
James Nunnally,0.34,0.21,0.25,0.1,0.09,0.09,0.09,0.0,0.07,0.04,0.21,0.04,0.0,0.06,0.23,0.32
James Webb,0.2,0.1,0.16,0.04,0.04,0.0,0.0,0.07,0.2,0.2,0.1,0.02,0.0,0.13,0.19,0.12
James Young,0.23,0.11,0.15,0.09,0.08,0.06,0.08,0.03,0.14,0.11,0.08,0.08,0.0,0.11,0.18,0.22
Jamil Wilson,0.29,0.28,0.23,0.09,0.07,0.01,0.03,0.01,0.15,0.11,0.11,0.05,0.21,0.11,0.28,0.35
Jared Cunningham,0.26,0.1,0.1,0.12,0.16,0.17,0.26,0.01,0.13,0.1,0.15,0.1,0.0,0.21,0.22,0.27
Jared Dudley,0.22,0.13,0.12,0.12,0.09,0.06,0.08,0.02,0.18,0.14,0.24,0.09,0.08,0.17,0.23,0.25
Jared Harper,0.48,0.0,0.26,0.25,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
Jared Sullinger,0.42,0.04,0.06,0.37,0.36,0.11,0.16,0.1,0.37,0.34,0.27,0.12,0.17,0.22,0.26,0.39
Jared Terrell,0.36,0.11,0.15,0.17,0.2,0.05,0.1,0.01,0.08,0.05,0.33,0.08,0.1,0.36,0.31,0.25
Jarell Eddie,0.39,0.27,0.3,0.07,0.09,0.16,0.16,0.02,0.19,0.14,0.05,0.09,0.0,0.07,0.07,0.37
Jarell Martin,0.29,0.06,0.06,0.24,0.23,0.13,0.16,0.06,0.22,0.22,0.11,0.08,0.19,0.2,0.31,0.31
Jaren Jackson,0.43,0.17,0.16,0.33,0.26,0.18,0.24,0.04,0.19,0.17,0.13,0.09,0.42,0.24,0.32,0.52
Jarnell Stokes,0.25,0.0,0.0,0.32,0.25,0.14,0.28,0.07,0.21,0.25,0.31,0.22,0.0,0.0,0.32,0.36
Jaron Blossomgame,0.24,0.07,0.09,0.19,0.15,0.05,0.06,0.06,0.25,0.22,0.09,0.06,0.15,0.1,0.09,0.23
Jarred Vanderbilt,0.24,0.0,0.02,0.28,0.22,0.14,0.19,0.1,0.29,0.27,0.14,0.22,0.19,0.49,0.28,0.29
Jarrell Brantley,0.29,0.08,0.13,0.17,0.16,0.02,0.04,0.02,0.28,0.21,0.32,0.08,0.42,0.3,0.17,0.23
Jarrett Allen,0.26,0.0,0.01,0.36,0.25,0.18,0.26,0.1,0.33,0.32,0.14,0.06,0.44,0.2,0.21,0.38
Jarrett Culver,0.38,0.12,0.15,0.24,0.23,0.08,0.16,0.05,0.15,0.14,0.21,0.12,0.19,0.22,0.19,0.35
Jarrett Jack,0.31,0.06,0.07,0.24,0.24,0.12,0.14,0.01,0.17,0.12,0.64,0.08,0.02,0.32,0.16,0.31
Jarrod Uthoff,0.33,0.11,0.11,0.24,0.23,0.08,0.12,0.06,0.16,0.17,0.17,0.06,0.15,0.08,0.13,0.32
Jason Smith,0.37,0.06,0.05,0.35,0.31,0.09,0.12,0.05,0.23,0.22,0.13,0.07,0.4,0.21,0.34,0.38
Jason Terry,0.22,0.17,0.16,0.08,0.06,0.03,0.04,0.01,0.09,0.07,0.21,0.12,0.08,0.13,0.16,0.23
Jason Thompson,0.23,0.03,0.03,0.22,0.2,0.16,0.22,0.07,0.33,0.29,0.17,0.09,0.29,0.12,0.38,0.28
Javonte Green,0.27,0.06,0.07,0.25,0.19,0.12,0.18,0.05,0.21,0.19,0.14,0.15,0.15,0.2,0.21,0.32
Jawun Evans,0.32,0.06,0.07,0.21,0.25,0.09,0.12,0.01,0.15,0.11,0.38,0.14,0.04,0.23,0.28,0.25
Jaxson Hayes,0.24,0.0,0.01,0.36,0.24,0.22,0.36,0.09,0.22,0.24,0.15,0.08,0.4,0.19,0.33,0.4
Jaylen Adams,0.25,0.16,0.18,0.07,0.09,0.03,0.05,0.02,0.17,0.14,0.43,0.09,0.06,0.26,0.23,0.23
Jaylen Brown,0.39,0.15,0.14,0.3,0.25,0.14,0.22,0.03,0.2,0.17,0.15,0.1,0.08,0.23,0.21,0.45
Jaylen Hoard,0.32,0.0,0.02,0.34,0.28,0.15,0.26,0.14,0.27,0.32,0.11,0.15,0.0,0.16,0.26,0.33
Jaylen Morris,0.32,0.07,0.09,0.25,0.23,0.02,0.03,0.02,0.22,0.17,0.25,0.09,0.06,0.22,0.06,0.27
Jaylen Nowell,0.35,0.06,0.17,0.24,0.18,0.22,0.22,0.02,0.1,0.09,0.37,0.06,0.08,0.08,0.16,0.34
Jayson Tatum,0.43,0.16,0.14,0.32,0.29,0.18,0.23,0.02,0.24,0.19,0.2,0.12,0.19,0.21,0.15,0.49
Jeff Ayres,0.22,0.0,0.02,0.25,0.21,0.13,0.13,0.03,0.26,0.21,0.13,0.0,0.23,0.26,0.39,0.26
Jeff Green,0.35,0.12,0.12,0.26,0.22,0.18,0.21,0.03,0.17,0.14,0.16,0.08,0.12,0.18,0.18,0.4
Jeff Teague,0.36,0.1,0.1,0.28,0.26,0.23,0.27,0.01,0.13,0.1,0.65,0.12,0.08,0.33,0.16,0.42
Jeff Withey,0.24,0.0,0.01,0.29,0.24,0.14,0.19,0.1,0.27,0.26,0.06,0.09,0.58,0.16,0.26,0.3
Jemerrio Jones,0.23,0.04,0.07,0.16,0.16,0.02,0.03,0.11,0.35,0.34,0.26,0.15,0.25,0.13,0.16,0.17
Jerami Grant,0.29,0.09,0.09,0.24,0.19,0.16,0.23,0.04,0.18,0.16,0.11,0.08,0.33,0.14,0.21,0.36
Jeremiah Martin,0.54,0.16,0.18,0.43,0.36,0.22,0.29,0.01,0.14,0.1,0.52,0.22,0.15,0.14,0.16,0.59
Jeremy Evans,0.19,0.03,0.06,0.19,0.13,0.12,0.17,0.05,0.25,0.22,0.03,0.08,0.27,0.14,0.16,0.26
Jeremy Lamb,0.42,0.13,0.14,0.32,0.28,0.17,0.2,0.02,0.24,0.19,0.21,0.1,0.12,0.16,0.17,0.46
Jeremy Lin,0.38,0.13,0.13,0.27,0.26,0.24,0.29,0.02,0.17,0.13,0.43,0.1,0.12,0.32,0.21,0.45
Jeremy Pargo,0.5,0.19,0.16,0.41,0.34,0.0,0.04,0.02,0.07,0.07,0.52,0.06,0.0,0.36,0.41,0.51
Jerian Grant,0.29,0.1,0.11,0.19,0.18,0.13,0.17,0.02,0.13,0.11,0.46,0.12,0.04,0.22,0.19,0.31
Jerome Robinson,0.32,0.15,0.16,0.17,0.16,0.07,0.11,0.01,0.18,0.13,0.23,0.09,0.1,0.18,0.27,0.3
Jerryd Bayless,0.3,0.17,0.15,0.14,0.15,0.08,0.11,0.02,0.12,0.09,0.31,0.08,0.02,0.19,0.18,0.31
Jevon Carter,0.28,0.18,0.17,0.09,0.12,0.06,0.08,0.03,0.13,0.12,0.29,0.15,0.15,0.18,0.21,0.27
Jimmer Fredette,0.41,0.04,0.18,0.26,0.23,0.23,0.26,0.01,0.11,0.09,0.33,0.13,0.0,0.34,0.19,0.34
Jimmy Butler,0.42,0.08,0.08,0.37,0.34,0.36,0.43,0.04,0.18,0.16,0.4,0.15,0.1,0.21,0.1,0.54
Joakim Noah,0.23,0.0,0.0,0.25,0.23,0.12,0.2,0.13,0.38,0.38,0.37,0.09,0.31,0.28,0.29,0.26
Jodie Meeks,0.35,0.19,0.19,0.17,0.17,0.17,0.2,0.01,0.15,0.11,0.17,0.09,0.04,0.14,0.11,0.4
Joe Chealey,0.24,0.0,0.1,0.06,0.15,0.1,0.1,0.0,0.0,0.0,0.14,0.29,0.0,0.2,0.16,0.09
Joe Harris,0.33,0.22,0.18,0.18,0.15,0.08,0.09,0.02,0.16,0.13,0.19,0.06,0.06,0.19,0.18,0.4
Joe Ingles,0.27,0.2,0.17,0.11,0.1,0.06,0.08,0.01,0.18,0.13,0.42,0.12,0.06,0.26,0.16,0.31
Joe Johnson,0.32,0.13,0.12,0.21,0.2,0.07,0.09,0.01,0.16,0.12,0.26,0.06,0.02,0.19,0.12,0.33
Joe Young,0.4,0.1,0.13,0.26,0.27,0.09,0.12,0.01,0.16,0.12,0.3,0.11,0.0,0.23,0.16,0.36
Joel Anthony,0.12,0.0,0.0,0.16,0.12,0.11,0.14,0.07,0.24,0.24,0.05,0.05,0.67,0.14,0.28,0.17
Joel Bolomboy,0.24,0.06,0.06,0.26,0.18,0.12,0.27,0.12,0.27,0.29,0.06,0.12,0.15,0.16,0.09,0.3
Joel Embiid,0.55,0.1,0.12,0.51,0.43,0.45,0.57,0.08,0.45,0.38,0.29,0.08,0.44,0.46,0.25,0.71
Joffrey Lauvergne,0.35,0.04,0.06,0.34,0.29,0.12,0.14,0.09,0.29,0.28,0.18,0.07,0.06,0.23,0.21,0.38
John Collins,0.4,0.07,0.07,0.46,0.33,0.18,0.24,0.1,0.31,0.31,0.16,0.07,0.29,0.24,0.24,0.52
John Henson,0.28,0.02,0.01,0.33,0.26,0.11,0.18,0.08,0.27,0.26,0.17,0.08,0.52,0.2,0.28,0.33
John Holland,0.34,0.17,0.2,0.06,0.13,0.12,0.14,0.03,0.15,0.14,0.08,0.12,0.1,0.17,0.13,0.29
John Jenkins,0.33,0.13,0.13,0.2,0.19,0.09,0.11,0.02,0.15,0.11,0.2,0.02,0.0,0.18,0.08,0.34
John Konchar,0.2,0.09,0.05,0.24,0.15,0.02,0.02,0.09,0.24,0.26,0.36,0.12,0.17,0.17,0.09,0.27
John Lucas,0.36,0.0,0.09,0.21,0.27,0.0,0.0,0.0,0.0,0.0,0.26,0.54,0.0,0.0,0.0,0.16
John Wall,0.49,0.11,0.11,0.4,0.38,0.24,0.31,0.02,0.15,0.12,0.81,0.15,0.17,0.44,0.12,0.54
Johnathan Motley,0.43,0.0,0.02,0.52,0.41,0.24,0.39,0.1,0.3,0.3,0.21,0.08,0.08,0.34,0.31,0.55
Johnathan Williams,0.26,0.0,0.01,0.35,0.25,0.13,0.23,0.13,0.24,0.29,0.1,0.04,0.21,0.14,0.32,0.33
Johnny O'Bryant,0.31,0.05,0.03,0.25,0.28,0.09,0.11,0.08,0.21,0.22,0.13,0.05,0.06,0.18,0.27,0.28
Jon Leuer,0.34,0.07,0.08,0.31,0.26,0.11,0.14,0.06,0.27,0.24,0.16,0.06,0.12,0.19,0.21,0.37
Jonah Bolden,0.25,0.15,0.15,0.17,0.1,0.04,0.09,0.08,0.27,0.25,0.17,0.09,0.44,0.21,0.35,0.29
Jonas Jerebko,0.26,0.13,0.12,0.16,0.14,0.09,0.1,0.06,0.26,0.23,0.17,0.06,0.1,0.12,0.24,0.29
Jonas Valanciunas,0.38,0.02,0.02,0.48,0.36,0.19,0.25,0.11,0.41,0.38,0.13,0.05,0.31,0.26,0.24,0.49
Jonathan Gibson,0.43,0.22,0.21,0.22,0.22,0.16,0.22,0.0,0.13,0.09,0.31,0.09,0.0,0.34,0.21,0.47
Jonathan Isaac,0.31,0.11,0.12,0.22,0.19,0.11,0.13,0.05,0.25,0.21,0.12,0.12,0.44,0.17,0.18,0.33
Jonathon Simmons,0.34,0.09,0.09,0.28,0.25,0.16,0.22,0.02,0.14,0.12,0.26,0.09,0.08,0.26,0.22,0.37
Jordan Adams,0.4,0.0,0.07,0.3,0.33,0.4,0.67,0.0,0.2,0.13,0.57,0.6,0.0,0.53,0.3,0.42
Jordan Bell,0.24,0.0,0.01,0.3,0.23,0.08,0.13,0.08,0.26,0.26,0.31,0.1,0.5,0.23,0.22,0.29
Jordan Bone,0.38,0.11,0.19,0.12,0.19,0.0,0.0,0.0,0.11,0.08,0.43,0.06,0.0,0.16,0.26,0.21
Jordan Clarkson,0.48,0.17,0.17,0.34,0.31,0.14,0.17,0.03,0.12,0.11,0.25,0.1,0.02,0.24,0.13,0.51
Jordan Crawford,0.49,0.26,0.22,0.32,0.28,0.09,0.11,0.01,0.1,0.08,0.4,0.08,0.04,0.23,0.16,0.55
Jordan Farmar,0.34,0.17,0.17,0.18,0.18,0.06,0.06,0.02,0.1,0.09,0.4,0.16,0.04,0.26,0.16,0.34
Jordan Hamilton,0.38,0.13,0.15,0.27,0.24,0.09,0.14,0.04,0.25,0.2,0.24,0.08,0.08,0.22,0.18,0.38
Jordan Hill,0.36,0.0,0.0,0.41,0.36,0.11,0.17,0.1,0.29,0.3,0.16,0.08,0.19,0.24,0.23,0.38
Jordan Loyd,0.32,0.18,0.15,0.14,0.18,0.35,0.39,0.02,0.23,0.18,0.31,0.0,0.0,0.18,0.19,0.47
Jordan McLaughlin,0.3,0.14,0.13,0.22,0.17,0.09,0.13,0.01,0.11,0.08,0.61,0.17,0.04,0.2,0.11,0.35
