Player,MP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordan McRae,36.0,15.4,1.8,5.0,4.7,10.4,3.4,4.4,0.8,4.2,4.7,3.7,1.0,0.5,1.8,3.1,18.0
Jordan Mickey,36.0,10.6,0.0,1.4,4.3,9.1,1.9,3.4,2.9,6.7,9.6,1.4,0.5,1.9,1.9,3.8,11.5
Jordan Poole,36.0,14.1,2.1,7.4,2.6,6.8,2.7,3.4,0.3,3.1,3.4,3.9,1.0,0.3,2.1,2.6,14.1
Jose Calderon,36.0,7.9,1.3,3.6,2.1,4.2,0.8,1.0,0.6,3.4,3.8,5.4,1.0,0.2,1.7,2.7,9.2
Josh Hart,36.0,10.0,2.1,6.0,2.1,4.0,1.6,2.1,1.0,5.8,6.8,2.0,1.3,0.6,1.3,3.0,12.2
Josh Huestis,36.0,6.9,1.3,4.1,1.0,2.8,0.3,0.8,1.5,4.3,6.1,0.8,0.5,1.5,1.0,2.8,6.4
Josh Jackson,36.0,16.1,1.3,4.3,5.5,11.9,3.0,4.4,1.5,4.9,6.4,2.8,1.5,0.9,2.8,3.9,17.6
Josh McRoberts,36.0,9.7,1.0,2.9,2.7,6.8,1.2,1.7,1.7,4.8,6.5,4.8,1.0,0.5,1.9,3.6,9.4
Josh Okogie,36.0,9.9,1.0,4.0,2.8,5.8,3.0,3.9,1.3,3.9,5.3,2.1,1.6,0.6,1.6,3.3,12.0
Josh Richardson,36.0,12.4,1.9,5.2,3.4,7.3,2.0,2.5,0.8,2.9,3.8,3.4,1.3,0.8,1.8,2.9,14.5
Josh Smith,36.0,14.3,1.6,5.8,3.5,8.4,1.4,2.8,2.1,5.6,7.9,3.7,1.4,1.9,3.0,4.9,13.6
Jrue Holiday,36.0,16.5,1.7,5.0,5.9,11.5,2.6,3.4,0.9,3.6,4.6,7.2,1.6,0.7,3.0,2.5,19.6
Juan Hernangomez,36.0,9.4,1.8,5.1,2.2,4.2,2.0,2.7,1.8,5.8,7.6,1.6,0.9,0.4,1.1,2.7,11.9
Julius Randle,36.0,15.2,0.5,1.8,6.9,13.3,4.3,6.0,2.7,8.4,11.1,3.5,0.9,0.6,3.1,3.9,19.8
Justin Anderson,36.0,12.4,1.6,6.0,3.3,6.3,2.5,3.3,1.6,5.2,6.9,1.9,1.1,0.8,1.6,3.3,14.3
Justin Hamilton,36.0,11.5,1.8,5.5,3.7,6.1,1.2,1.6,2.2,5.9,8.0,1.8,1.0,1.4,1.4,2.7,13.5
Justin Holiday,36.0,11.1,2.3,6.4,2.1,4.7,1.4,1.9,0.6,4.0,4.6,2.1,1.6,0.7,1.4,2.4,12.7
Justin Jackson,36.0,10.7,1.7,5.2,3.0,5.5,1.1,1.5,0.9,3.9,4.8,1.8,0.7,0.4,0.7,2.2,12.0
Justin James,36.0,12.9,1.1,4.5,3.9,8.4,1.7,3.4,1.1,3.9,5.1,2.8,1.1,1.1,1.1,2.8,14.1
Justise Winslow,36.0,10.8,1.0,2.9,3.5,7.9,1.5,2.3,1.3,5.5,6.8,3.4,1.1,0.5,1.9,3.2,11.4
Jusuf Nurkic,36.0,15.3,0.0,0.3,7.7,15.0,3.8,5.6,3.8,8.7,12.5,3.2,1.3,2.1,3.2,4.6,19.2
KJ McDaniels,36.0,11.7,1.3,4.6,3.8,7.1,2.9,3.3,1.7,4.6,5.9,1.3,1.3,1.3,2.1,3.8,14.2
Kadeem Allen,36.0,11.6,1.3,3.4,3.7,8.2,3.2,4.2,0.8,3.2,4.0,6.1,1.3,0.5,2.4,3.7,14.6
Karl-Anthony Towns,36.0,16.7,1.5,3.8,7.4,13.1,4.3,5.2,3.2,9.0,12.3,2.9,0.8,1.6,2.6,3.5,23.8
Kawhi Leonard,36.0,19.3,2.1,5.4,7.3,13.8,6.1,7.0,1.3,6.0,7.2,3.8,2.0,0.8,2.2,1.9,26.9
Kay Felder,36.0,15.4,0.8,2.8,4.7,12.7,3.2,4.4,0.4,3.6,4.0,5.1,1.6,0.4,3.2,3.2,15.0
Keita Bates-Diop,36.0,10.9,1.3,4.5,3.2,6.4,2.1,3.0,1.3,4.9,6.0,1.3,1.1,1.1,0.9,2.1,12.6
Kelan Martin,36.0,13.0,1.8,7.0,3.4,6.1,2.2,2.2,0.9,6.1,7.0,1.6,0.5,0.7,1.4,3.6,14.4
Kelly Olynyk,36.0,12.3,2.2,5.7,3.7,6.6,2.5,3.2,1.7,6.4,8.1,3.4,1.2,0.7,2.4,4.4,16.5
Kelly Oubre,36.0,13.3,1.8,5.5,3.9,7.9,2.8,3.7,1.2,4.9,6.1,1.3,1.3,0.7,1.5,3.9,16.3
Kemba Walker,36.0,18.7,3.0,8.1,5.0,10.6,4.5,5.4,0.6,3.6,4.1,5.7,1.3,0.4,2.3,1.6,23.7
Kendrick Nunn,36.0,16.7,2.5,7.1,4.8,9.6,1.6,1.8,0.4,2.9,3.3,4.1,1.0,0.2,2.1,2.8,18.8
Kendrick Perkins,36.0,4.9,0.0,0.0,2.7,4.9,0.7,1.7,1.7,6.6,8.3,2.2,0.7,0.7,2.7,4.2,6.1
Kenneth Faried,36.0,12.6,0.0,0.3,7.0,12.2,3.2,4.8,5.1,7.5,12.4,1.5,0.8,1.2,1.7,3.7,17.2
Kenrich Williams,36.0,8.0,1.4,4.8,1.6,3.2,0.5,0.8,1.9,5.6,7.7,2.6,1.3,0.8,1.1,3.5,7.8
Kent Bazemore,36.0,13.1,1.9,5.5,3.6,7.7,2.5,3.3,0.7,4.9,5.6,3.3,1.8,0.8,2.5,3.4,15.3
Kentavious Caldwell-Pope,36.0,12.3,2.1,5.9,3.2,6.3,2.2,2.7,0.8,3.2,4.0,2.2,1.4,0.2,1.3,2.1,14.7
Kevin Durant,36.0,18.6,2.3,5.9,7.4,12.7,5.9,6.7,0.5,7.1,7.7,5.5,0.9,1.5,3.0,2.0,27.5
Kevin Garnett,36.0,7.4,0.0,0.0,3.5,7.4,1.0,1.5,1.0,8.9,9.6,3.9,1.7,0.7,1.0,4.4,7.9
Kevin Huerter,36.0,12.0,2.5,6.4,2.5,5.4,0.9,1.1,0.9,3.6,4.5,4.1,1.1,0.5,1.9,2.7,13.4
Kevin Knox,36.0,14.3,2.1,6.1,3.2,8.2,2.4,3.5,0.9,4.7,5.6,1.5,0.8,0.6,1.7,3.0,15.0
Kevin Love,36.0,15.5,2.7,7.3,3.9,8.2,4.5,5.2,2.1,9.8,12.0,2.7,0.8,0.5,2.4,2.4,20.6
Kevin Martin,36.0,13.7,1.6,4.5,3.4,9.2,5.1,5.6,0.5,3.1,3.6,2.0,0.9,0.2,1.8,2.7,16.8
Kevin Porter,36.0,13.0,1.7,5.0,4.2,8.2,2.3,3.1,0.6,4.3,5.0,3.4,1.4,0.5,2.9,4.2,15.5
Kevin Seraphin,36.0,13.5,0.0,0.0,6.4,13.2,1.0,1.6,2.2,6.4,9.0,2.2,0.6,1.9,2.2,4.5,13.8
Kevon Looney,36.0,8.5,0.0,0.5,4.7,8.0,1.6,2.6,4.1,5.4,9.6,2.6,1.3,1.6,1.3,4.9,11.4
Khem Birch,36.0,7.1,0.0,0.0,4.0,7.1,2.8,4.2,4.0,5.9,9.9,2.1,0.9,1.2,1.2,3.8,10.6
Khris Middleton,36.0,15.9,2.2,5.6,5.2,10.4,3.6,4.1,0.6,5.0,5.6,4.4,1.4,0.2,2.5,2.8,20.4
Khyri Thomas,36.0,12.0,1.9,6.7,1.9,5.3,1.4,1.9,0.5,2.4,2.9,1.4,1.4,0.5,1.0,4.3,11.0
Kirk Hinrich,36.0,7.4,1.3,3.4,1.3,3.9,0.8,0.8,0.5,3.4,3.9,4.2,0.8,0.0,1.8,3.7,7.9
Klay Thompson,36.0,18.4,3.5,8.3,5.2,10.1,2.0,2.3,0.5,3.5,4.0,2.4,1.0,0.6,1.7,1.9,22.8
Kobe Bryant,36.0,21.6,2.6,9.1,5.1,12.5,4.5,5.5,0.8,4.0,4.7,3.6,1.1,0.3,2.6,2.2,22.5
Kobi Simmons,36.0,10.5,0.6,2.2,3.9,8.3,1.5,1.5,0.7,2.0,2.8,3.9,0.9,0.4,2.4,3.3,10.9
Kosta Koufos,36.0,10.4,0.0,0.0,5.7,10.4,1.0,2.0,3.7,7.5,11.0,1.6,1.0,1.2,1.4,4.3,12.2
Kris Dunn,36.0,11.9,0.9,2.7,4.1,9.2,1.3,1.9,0.6,4.4,4.9,6.2,2.2,0.6,2.7,4.4,12.3
Kris Humphries,36.0,12.1,1.3,3.9,3.6,8.2,3.1,3.9,2.8,7.2,10.0,1.5,0.8,1.0,1.5,3.9,14.1
Kristaps Porzingis,36.0,17.5,2.0,5.7,5.7,11.9,4.0,5.0,2.0,6.9,8.8,1.6,0.8,2.3,2.0,3.7,21.2
Ky Bowman,36.0,11.3,1.1,3.8,3.5,7.6,1.3,1.4,0.8,3.5,4.3,4.6,1.6,0.3,2.5,3.7,11.8
Kyle Anderson,36.0,8.1,0.4,1.4,3.7,6.8,1.6,2.3,1.2,6.0,7.2,3.7,1.8,1.1,1.6,2.6,10.0
Kyle Collinsworth,36.0,7.4,0.2,1.2,2.6,6.2,1.7,2.9,2.4,5.5,7.9,4.3,1.2,0.7,1.9,3.4,7.7
Kyle Korver,36.0,10.8,3.3,7.6,1.6,3.0,1.1,1.2,0.3,3.7,4.1,2.3,0.8,0.5,1.4,2.6,13.7
Kyle Kuzma,36.0,16.1,2.2,6.5,5.0,9.6,2.6,3.5,1.2,5.4,6.6,2.3,0.7,0.5,2.2,2.6,19.2
Kyle Lowry,36.0,13.9,3.0,7.6,3.1,6.2,4.2,5.0,0.7,4.4,5.1,7.3,1.5,0.4,2.9,2.8,19.0
Kyle O'Quinn,36.0,11.5,0.3,0.8,5.7,10.7,2.1,2.9,3.7,8.6,12.3,3.9,1.0,2.6,2.6,5.2,14.3
Kyle Singler,36.0,8.2,0.9,3.4,2.3,4.8,1.1,2.0,1.4,3.4,5.1,0.9,0.9,0.3,1.1,4.0,8.8
Kyrie Irving,36.0,20.1,2.6,6.7,7.0,13.4,4.0,4.5,0.9,3.4,4.2,6.3,1.3,0.4,2.7,2.4,25.9
LaMarcus Aldridge,36.0,17.3,0.3,1.1,8.3,16.2,4.1,4.9,3.0,6.2,9.1,2.2,0.7,1.4,1.7,2.4,21.9
Lamar Patterson,36.0,7.9,1.0,4.6,1.3,3.3,1.3,2.0,0.3,4.3,4.6,3.6,0.7,0.0,2.3,4.3,7.6
Lance Stephenson,36.0,13.2,1.3,4.0,4.5,9.2,1.8,2.5,1.1,6.0,7.1,4.3,1.1,0.4,2.5,3.4,14.8
Lance Thomas,36.0,8.9,1.3,3.3,2.4,5.5,1.8,2.0,1.1,3.5,4.6,1.3,0.7,0.2,1.3,3.3,10.3
Landry Shamet,36.0,10.5,3.1,7.6,1.3,2.8,1.6,1.9,0.3,2.3,2.6,2.3,0.6,0.3,1.0,3.2,13.4
Langston Galloway,36.0,11.9,2.5,6.8,2.3,5.3,1.5,1.8,0.8,3.1,4.0,2.5,1.2,0.2,0.8,2.5,13.4
Larry Nance,36.0,9.7,0.5,1.5,4.7,8.1,1.5,2.3,3.2,7.0,10.1,2.8,1.8,0.8,1.5,3.5,12.4
Lauri Markkanen,36.0,15.5,2.6,7.3,4.1,8.2,3.1,3.5,1.5,7.4,8.9,1.5,0.8,0.7,1.8,2.2,18.9
Lavoy Allen,36.0,7.8,0.0,0.0,3.9,7.8,1.0,1.6,3.9,5.5,9.4,2.0,0.6,1.0,1.4,3.3,8.8
LeBron James,36.0,18.9,1.7,5.0,8.2,14.0,4.7,6.6,1.2,7.0,8.2,8.6,1.3,0.7,3.8,1.8,26.3
Leandro Barbosa,36.0,13.4,1.2,3.6,4.8,9.8,1.7,1.9,0.7,3.1,3.8,2.9,1.4,0.2,1.7,3.3,15.0
Lonnie Walker,36.0,13.2,1.5,3.8,4.1,9.4,1.8,2.3,0.8,4.3,5.1,2.5,1.3,0.5,1.5,2.8,14.2
Lonzo Ball,36.0,11.7,2.1,6.4,2.5,5.5,0.7,1.3,1.3,5.5,6.8,7.4,1.7,0.7,3.0,2.5,11.9
Lorenzo Brown,36.0,11.3,0.8,4.2,3.3,7.1,0.8,0.8,0.4,4.2,4.6,4.6,1.7,0.4,2.5,2.9,9.2
Lou Williams,36.0,17.7,2.3,6.5,5.2,11.2,6.6,7.7,0.6,2.8,3.4,5.5,1.1,0.3,3.1,1.7,24.0
Luc Mbah a Moute,36.0,7.3,0.9,2.6,2.6,4.8,1.2,1.9,1.0,3.1,4.1,1.0,1.5,0.7,1.2,2.6,9.2
Lucas Nogueira,36.0,5.9,0.3,0.8,3.7,5.1,1.4,2.2,2.5,5.3,7.9,1.4,1.7,3.1,1.4,4.5,9.3
Luguentz Dort,36.0,9.6,1.3,4.4,2.5,5.1,1.9,2.4,1.1,2.5,3.5,1.3,1.4,0.2,0.9,4.3,10.7
Luis Scola,36.0,12.9,1.3,3.7,4.4,9.2,1.5,2.1,2.3,6.2,8.7,1.7,1.0,0.6,1.7,4.2,14.6
Luka Doncic,36.0,20.2,2.7,8.7,6.1,11.4,6.4,8.7,1.3,8.0,9.3,8.0,1.1,0.3,4.2,2.4,27.1
Luke Babbitt,36.0,10.9,2.7,6.6,1.8,4.3,0.9,1.1,0.7,4.8,5.2,1.6,0.5,0.5,0.9,3.6,12.5
Luke Kennard,36.0,12.5,2.5,6.0,3.1,6.3,1.7,2.0,0.5,3.9,4.3,3.4,0.8,0.3,1.5,2.3,15.1
Luke Kornet,36.0,12.7,2.9,8.1,2.4,4.6,1.3,1.8,1.3,4.8,6.1,2.4,0.9,1.8,1.1,2.6,14.5
Luol Deng,36.0,10.8,1.3,3.9,3.5,6.9,1.8,2.4,1.5,5.3,6.8,1.9,1.2,0.5,1.2,1.8,12.6
Malachi Richardson,36.0,10.9,1.6,5.3,2.4,5.3,2.0,2.8,0.4,3.6,4.0,1.2,0.8,0.0,1.6,3.6,11.3
Malcolm Brogdon,36.0,13.7,1.6,4.3,4.8,9.4,2.5,2.9,1.0,3.9,4.8,5.5,1.1,0.3,2.1,2.4,17.1
Malcolm Delaney,36.0,10.7,1.2,3.6,2.8,7.1,2.4,3.0,0.2,3.2,3.6,5.7,1.2,0.2,2.6,3.0,11.5
Malcolm Miller,36.0,8.6,2.7,6.4,1.1,2.1,1.1,1.6,0.5,2.7,3.8,1.6,0.5,0.5,1.1,3.2,10.7
Malik Beasley,36.0,14.3,2.9,7.4,3.5,6.8,1.2,1.7,0.6,3.5,4.1,2.1,1.0,0.2,1.4,2.3,17.0
Malik Monk,36.0,16.3,2.7,8.6,3.8,8.0,2.3,2.7,0.6,3.3,4.0,3.6,0.8,0.4,2.3,2.7,18.0
Manu Ginobili,36.0,13.0,2.2,5.8,3.3,7.1,2.8,3.3,0.7,3.5,4.3,5.0,1.9,0.4,3.0,3.3,16.0
MarShon Brooks,36.0,16.8,2.0,5.4,5.8,11.4,2.7,3.6,1.3,2.9,4.2,3.1,1.3,0.4,2.2,2.5,20.6
Marc Gasol,36.0,14.1,1.3,3.5,4.9,10.5,3.5,4.3,1.1,7.1,8.1,4.6,1.0,1.3,2.4,2.9,17.3
Marcelo Huertas,36.0,9.6,0.7,2.7,3.2,7.2,1.2,1.5,0.7,3.0,3.7,7.6,1.2,0.2,3.2,3.0,9.6
Marcin Gortat,36.0,10.2,0.0,0.0,5.7,10.2,1.9,2.7,3.4,8.4,11.7,2.0,0.7,1.1,1.9,3.2,13.3
Marco Belinelli,36.0,13.4,2.5,6.8,3.0,6.5,2.5,2.9,0.3,3.0,3.3,2.7,0.8,0.2,1.4,1.9,16.2
Marcus Georges-Hunt,36.0,7.4,0.6,2.5,2.5,5.0,3.1,4.3,1.2,2.5,3.1,1.2,0.6,0.0,0.6,5.0,9.9
Marcus Morris,36.0,13.9,2.0,5.3,4.1,8.6,2.7,3.4,1.2,4.9,6.0,2.1,0.8,0.3,1.6,2.7,16.7
Marcus Smart,36.0,11.2,1.8,5.8,2.3,5.4,2.5,3.1,1.1,3.3,4.4,5.3,2.0,0.5,2.2,3.2,12.7
Marcus Thornton,36.0,16.1,2.6,7.4,3.8,8.6,2.0,2.2,1.2,3.6,4.8,2.6,1.4,0.2,1.6,3.0,17.3
Mario Chalmers,36.0,11.5,1.3,4.4,3.3,7.0,4.3,5.1,0.5,3.6,4.1,5.6,2.1,0.3,2.9,4.6,14.6
Mario Hezonja,36.0,12.1,1.6,4.9,3.5,7.2,1.8,2.3,0.8,5.3,6.0,2.5,1.4,0.4,2.1,3.3,13.4
Markel Brown,36.0,11.8,1.4,4.5,3.3,7.3,2.6,3.3,0.9,3.8,4.5,3.3,1.4,0.5,1.9,3.5,13.2
Markelle Fultz,36.0,14.0,0.6,2.0,5.8,12.0,2.0,3.0,1.0,3.7,4.7,6.5,1.6,0.3,2.5,3.0,15.1
Markieff Morris,36.0,13.8,1.5,4.2,4.6,9.6,2.2,2.8,1.5,5.9,7.5,2.4,1.1,0.7,2.2,4.1,16.2
Marko Guduric,36.0,11.8,2.0,6.2,2.6,5.6,1.6,2.0,1.0,4.3,5.6,3.3,1.0,0.7,2.6,2.6,12.8
Marquese Chriss,36.0,12.1,1.1,3.9,4.5,8.4,2.6,3.9,2.4,6.7,9.1,2.0,1.3,1.5,2.4,4.8,14.8
Marreese Speights,36.0,17.5,2.6,7.4,4.8,10.1,3.2,4.0,2.4,7.1,9.5,2.1,0.5,1.3,2.1,5.8,20.9
Marvin Bagley,36.0,16.5,0.7,2.3,7.5,14.4,3.8,5.5,3.6,7.1,10.8,1.4,0.7,1.3,2.1,3.1,21.1
Marvin Williams,36.0,10.7,2.1,5.8,2.5,5.0,1.7,2.0,1.5,5.8,7.2,1.7,1.1,0.9,0.9,2.3,13.2
Mason Plumlee,36.0,9.5,0.0,0.2,5.3,9.4,2.9,5.0,3.2,7.3,10.5,4.5,1.3,1.6,2.6,4.5,13.6
Matisse Thybulle,36.0,7.5,1.6,4.4,1.6,3.1,0.7,1.1,1.3,1.8,2.9,2.2,2.5,1.3,1.5,4.0,8.5
Matt Barnes,36.0,10.6,1.9,5.7,2.2,4.9,1.6,2.0,1.4,5.9,7.4,3.3,1.1,0.8,2.0,3.8,11.7
Matt Thomas,36.0,12.4,3.7,8.1,2.0,4.0,0.7,1.0,0.7,4.4,5.0,1.7,0.7,0.0,1.3,3.0,16.5
Matthew Dellavedova,36.0,9.4,1.5,4.5,2.1,5.0,1.4,1.5,0.5,2.6,3.1,7.0,0.9,0.0,2.4,3.3,10.3
Maurice Harkless,36.0,9.3,1.1,3.1,3.6,6.2,1.2,2.0,1.9,4.0,5.9,1.6,1.4,1.1,1.4,3.4,11.5
Maurice Ndour,36.0,9.4,0.0,0.7,4.2,8.7,2.1,2.8,2.4,4.5,7.0,0.7,1.7,0.7,1.4,3.1,10.8
Maxi Kleber,36.0,9.5,1.9,5.3,2.5,4.2,1.4,1.7,2.2,5.3,7.5,1.7,0.7,1.7,1.2,3.4,12.1
Metta World Peace,36.0,11.8,1.7,5.8,1.7,5.8,2.3,3.5,1.2,4.0,5.2,1.7,1.4,0.6,1.2,4.0,11.2
Meyers Leonard,36.0,10.4,2.1,5.3,2.8,5.1,1.1,1.3,1.3,7.2,8.5,2.3,0.4,0.4,1.5,4.7,12.8
Michael Beasley,36.0,17.5,0.6,1.8,8.5,15.7,3.0,3.9,2.0,6.5,8.5,2.4,1.0,1.0,3.0,3.5,21.6
Michael Carter-Williams,36.0,11.8,0.5,2.3,4.1,9.4,2.9,3.7,1.4,4.8,6.2,5.5,1.8,1.1,2.7,3.9,12.8
Michael Kidd-Gilchrist,36.0,10.0,0.2,0.5,4.6,9.5,2.5,3.2,2.2,5.4,7.5,1.7,1.1,0.9,1.1,3.2,12.3
Michael Porter,36.0,15.4,2.4,5.9,5.3,9.4,2.4,2.9,2.6,7.7,10.3,1.8,1.1,1.1,2.0,4.0,20.4
Mikal Bridges,36.0,8.5,1.4,4.1,2.5,4.4,1.6,1.9,1.0,3.5,4.5,2.4,1.9,0.6,1.1,2.9,10.9
Mike Conley,36.0,15.8,2.4,6.2,4.5,9.6,4.5,5.4,0.6,3.0,3.6,6.5,1.4,0.3,2.1,2.1,20.5
Mike Dunleavy,36.0,9.6,2.2,5.5,1.8,4.1,1.6,2.0,0.6,3.9,4.7,2.2,0.6,0.4,1.2,3.1,11.5
Mike James,36.0,16.8,1.3,5.1,5.1,11.7,3.4,4.3,0.8,4.0,4.7,6.6,1.5,0.4,2.6,2.5,17.5
Mike Miller,36.0,6.0,1.8,5.1,0.5,0.9,0.0,0.0,0.5,5.5,6.5,4.2,0.9,0.5,1.8,4.2,6.5
Mike Muscala,36.0,10.3,2.0,5.4,2.7,4.9,1.8,2.0,1.8,5.4,7.2,2.2,0.9,1.1,1.3,3.4,13.0
Mike Scott,36.0,11.7,2.1,5.5,3.2,6.2,1.1,1.5,1.5,5.3,6.8,1.9,0.6,0.4,1.3,3.4,13.8
Miles Bridges,36.0,12.3,1.6,4.8,3.8,7.5,1.6,2.0,1.6,5.2,6.6,2.0,1.0,1.0,1.4,2.4,14.0
Miles Plumlee,36.0,8.1,0.0,0.0,4.7,8.1,1.6,2.9,3.4,5.5,8.7,1.6,0.8,1.3,2.1,3.4,11.0
Milos Teodosic,36.0,11.3,2.7,7.2,2.0,4.0,1.2,1.5,0.5,3.4,4.0,6.7,0.7,0.2,3.4,3.7,13.5
Mindaugas Kuzminskas,36.0,13.1,1.9,5.8,3.6,7.1,1.9,2.4,1.7,2.7,4.4,2.4,1.0,0.5,1.7,2.7,15.1
Mirza Teletovic,36.0,15.2,3.7,9.8,2.5,5.4,1.9,2.5,0.8,5.0,6.0,1.7,0.6,0.4,1.5,3.5,18.1
Mitchell Robinson,36.0,8.3,0.0,0.0,5.9,8.3,2.1,3.6,4.8,6.3,11.1,1.0,1.3,3.6,1.0,5.3,14.0
Mo Bamba,36.0,11.7,1.2,3.8,4.3,7.6,1.4,2.4,3.6,8.1,11.7,1.7,0.7,3.3,1.9,4.8,13.6
Mo Williams,36.0,14.6,1.8,4.9,4.5,9.7,1.8,2.0,0.2,3.2,3.6,4.7,0.6,0.2,2.8,3.0,16.2
Monta Ellis,36.0,12.0,0.9,3.2,4.2,8.9,1.9,2.6,0.5,3.2,3.7,4.7,1.8,0.5,2.6,2.5,13.3
Monte Morris,36.0,12.7,1.6,3.9,4.5,8.6,1.4,1.7,0.6,2.7,3.3,5.5,1.3,0.2,1.1,1.7,15.0
Montrezl Harrell,36.0,14.5,0.0,0.3,9.0,14.3,4.0,6.2,2.9,5.5,8.4,2.2,1.0,1.6,2.1,4.0,21.9
Moritz Wagner,36.0,12.3,1.2,4.4,4.7,7.9,3.5,4.2,2.0,6.4,8.6,2.2,1.0,1.0,3.0,5.9,16.8
Myles Turner,36.0,12.7,1.0,2.7,5.2,9.9,2.8,3.7,1.8,6.6,8.5,1.5,0.9,2.7,1.7,3.6,16.2
Nassir Little,36.0,9.4,0.9,3.6,3.3,5.7,1.8,2.7,1.8,4.8,6.7,1.5,0.9,0.9,0.9,4.5,10.9
Nemanja Bjelica,36.0,10.7,2.0,5.1,3.0,5.6,1.3,1.7,2.0,5.9,7.9,3.0,1.2,0.7,1.7,4.1,13.2
Nene,36.0,7.8,0.0,0.3,3.9,7.5,1.9,3.0,2.2,5.8,8.0,1.7,1.1,1.1,0.8,5.8,10.0
Nene Hilario,36.0,12.1,0.0,0.2,6.9,11.9,3.5,5.8,2.3,6.0,8.5,2.5,1.7,0.8,2.3,5.2,17.5
Nerlens Noel,36.0,9.8,0.0,0.0,5.6,9.8,2.4,3.5,3.3,7.1,10.4,1.8,2.2,2.4,2.2,4.5,13.6
Nick Collison,36.0,6.0,0.0,0.0,3.0,6.0,1.5,2.2,3.4,5.6,9.0,2.6,0.8,0.8,2.2,5.2,7.5
Nick Young,36.0,13.5,3.4,8.9,2.1,4.6,1.8,2.1,0.5,2.7,3.2,1.2,0.9,0.2,0.9,2.7,16.0
Nickeil Alexander-Walker,36.0,16.3,2.9,8.0,3.1,8.0,1.4,2.3,0.6,4.6,5.1,5.4,1.1,0.6,3.1,3.4,16.3
Nicolas Batum,36.0,11.4,1.8,5.1,3.0,6.3,2.1,2.6,0.9,5.3,6.1,5.5,1.1,0.6,2.5,1.7,13.5
Nicolas Brussino,36.0,9.8,2.0,6.7,1.6,3.1,1.2,1.6,1.6,4.7,6.7,3.1,1.2,0.4,1.6,2.7,10.2
Nicolo Melli,36.0,11.2,2.5,7.0,2.3,4.1,1.9,2.5,1.2,5.0,6.2,2.9,1.2,0.8,1.7,4.3,13.7
Nik Stauskas,36.0,10.9,2.2,6.3,2.0,4.6,1.9,2.4,0.5,3.4,3.9,2.9,0.9,0.3,1.9,2.2,12.8
Nikola Jokic,36.0,15.4,1.1,3.4,7.0,12.0,3.7,4.5,3.2,8.7,11.9,6.8,1.4,0.9,3.1,3.5,21.1
Nikola Mirotic,36.0,14.6,3.1,8.3,3.2,6.3,2.7,3.4,1.4,7.5,8.9,1.8,1.1,1.0,1.7,3.0,18.3
Nikola Vucevic,36.0,18.3,0.9,2.8,8.1,15.6,2.1,2.8,2.8,9.4,12.2,3.9,1.1,1.2,2.1,2.7,21.1
Noah Vonleh,36.0,8.6,0.6,1.9,3.5,6.8,1.9,2.7,2.9,8.0,10.9,1.6,0.8,0.8,1.6,3.9,10.5
Norman Powell,36.0,13.2,1.9,5.6,4.0,7.7,2.5,3.1,0.6,4.0,4.6,2.5,1.3,0.4,1.9,3.1,16.5
Norris Cole,36.0,14.5,0.9,3.2,4.7,11.5,1.6,2.1,0.3,4.1,4.4,4.9,1.3,0.2,2.2,3.3,14.2
OG Anunoby,36.0,9.7,1.7,4.6,2.9,5.1,1.1,1.7,1.4,4.2,5.4,1.5,1.4,0.6,1.4,3.2,12.1
OJ Mayo,36.0,10.6,1.8,5.4,2.2,5.3,1.1,1.4,0.4,3.0,3.5,3.9,1.6,0.3,2.4,4.2,10.6
